,Value(uM),Subject Age,Subject Sex,Subject Information
10265,,,,Taking drug identified by DrugBank entry DB01060
10266,,,,Taking drug identified by DrugBank entry DB01061
10267,,,,Taking drug identified by DrugBank entry DB01062
10268,,,,Taking drug identified by DrugBank entry DB01063
10269,,,,Taking drug identified by DrugBank entry DB01064
10270,,,,Taking drug identified by DrugBank entry DB01066
10271,,,,Taking drug identified by DrugBank entry DB01067
10272,,,,Taking drug identified by DrugBank entry DB01068
10273,,,,Taking drug identified by DrugBank entry DB01069
10274,,,,Taking drug identified by DrugBank entry DB01070
10275,,,,Taking drug identified by DrugBank entry DB01071
10276,,,,Taking drug identified by DrugBank entry DB01072
10277,,,,Taking drug identified by DrugBank entry DB01073
10278,,,,Taking drug identified by DrugBank entry DB01074
10279,,,,Taking drug identified by DrugBank entry DB01077
10280,,,,Taking drug identified by DrugBank entry DB01078
10281,,,,Taking drug identified by DrugBank entry DB01080
10282,,,,Taking drug identified by DrugBank entry DB01081
10283,,,,Taking drug identified by DrugBank entry DB01082
10284,,,,Taking drug identified by DrugBank entry DB01083
10285,,,,Taking drug identified by DrugBank entry DB01084
10286,,,,Taking drug identified by DrugBank entry DB01085
10287,,,,Taking drug identified by DrugBank entry DB01087
10288,,,,Taking drug identified by DrugBank entry DB01088
10289,,,,Taking drug identified by DrugBank entry DB01089
10290,,,,Taking drug identified by DrugBank entry DB01090
10291,,,,Taking drug identified by DrugBank entry DB01091
10292,,,,Taking drug identified by DrugBank entry DB01092
10293,,,,Taking drug identified by DrugBank entry DB01095
10294,,,,Taking drug identified by DrugBank entry DB01096
10295,,,,Taking drug identified by DrugBank entry DB01097
10296,,,,Taking drug identified by DrugBank entry DB01098
10297,,,,Taking drug identified by DrugBank entry DB01099
10298,,,,Taking drug identified by DrugBank entry DB01100
10299,,,,Taking drug identified by DrugBank entry DB01101
10300,,,,Taking drug identified by DrugBank entry DB01102
10301,,,,Taking drug identified by DrugBank entry DB01103
10302,,,,Taking drug identified by DrugBank entry DB01105
10303,,,,Taking drug identified by DrugBank entry DB01106
10304,,,,Taking drug identified by DrugBank entry DB01107
10305,,,,Taking drug identified by DrugBank entry DB01108
10306,,,,Taking drug identified by DrugBank entry DB01110
10307,,,,Taking drug identified by DrugBank entry DB01111
10308,,,,Taking drug identified by DrugBank entry DB01112
10309,,,,Taking drug identified by DrugBank entry DB01113
10310,,,,Taking drug identified by DrugBank entry DB01115
10311,,,,Taking drug identified by DrugBank entry DB01116
10312,,,,Taking drug identified by DrugBank entry DB01117
10313,,,,Taking drug identified by DrugBank entry DB01118
10314,,,,Taking drug identified by DrugBank entry DB01119
10315,,,,Taking drug identified by DrugBank entry DB01120
10316,,,,Taking drug identified by DrugBank entry DB01121
10317,,,,Taking drug identified by DrugBank entry DB01122
10318,,,,Taking drug identified by DrugBank entry DB01123
10319,,,,Taking drug identified by DrugBank entry DB01124
10320,,,,Taking drug identified by DrugBank entry DB01125
10321,,,,Taking drug identified by DrugBank entry DB01126
10322,,,,Taking drug identified by DrugBank entry DB01127
10323,,,,Taking drug identified by DrugBank entry DB01128
10324,,,,Taking drug identified by DrugBank entry DB01130
10325,,,,Taking drug identified by DrugBank entry DB01131
10326,,,,Taking drug identified by DrugBank entry DB01132
10327,,,,Taking drug identified by DrugBank entry DB01133
10328,,,,Taking drug identified by DrugBank entry DB01135
10329,,,,Taking drug identified by DrugBank entry DB01136
10330,,,,Taking drug identified by DrugBank entry DB01138
10331,,,,Taking drug identified by DrugBank entry DB01139
10332,,,,Taking drug identified by DrugBank entry DB01140
10333,,,,Taking drug identified by DrugBank entry DB01141
10334,,,,Taking drug identified by DrugBank entry DB01142
10335,,,,Taking drug identified by DrugBank entry DB01143
10336,,,,Taking drug identified by DrugBank entry DB01144
10337,,,,Taking drug identified by DrugBank entry DB01145
10338,,,,Taking drug identified by DrugBank entry DB01146
10339,,,,Taking drug identified by DrugBank entry DB01147
10340,,,,Taking drug identified by DrugBank entry DB01148
10341,,,,Taking drug identified by DrugBank entry DB01149
10342,,,,Taking drug identified by DrugBank entry DB01150
10343,,,,Taking drug identified by DrugBank entry DB01151
10344,,,,Taking drug identified by DrugBank entry DB01152
10345,,,,Taking drug identified by DrugBank entry DB01153
10346,,,,Taking drug identified by DrugBank entry DB01154
10347,,,,Taking drug identified by DrugBank entry DB01155
10348,,,,Taking drug identified by DrugBank entry DB01157
10349,,,,Taking drug identified by DrugBank entry DB01158
10350,,,,Taking drug identified by DrugBank entry DB01159
10351,,,,Taking drug identified by DrugBank entry DB01161
10352,,,,Taking drug identified by DrugBank entry DB01162
10353,,,,Taking drug identified by DrugBank entry DB01163
10354,,,,Taking drug identified by DrugBank entry DB01165
10355,,,,Taking drug identified by DrugBank entry DB01166
10356,,,,Taking drug identified by DrugBank entry DB01167
10357,,,,Taking drug identified by DrugBank entry DB01168
10358,,,,Taking drug identified by DrugBank entry DB01169
10359,,,,Taking drug identified by DrugBank entry DB01170
10360,,,,Taking drug identified by DrugBank entry DB01171
10361,,,,Taking drug identified by DrugBank entry DB01172
10362,,,,Taking drug identified by DrugBank entry DB01173
10363,,,,Taking drug identified by DrugBank entry DB01174
10364,,,,Taking drug identified by DrugBank entry DB01176
10365,,,,Taking drug identified by DrugBank entry DB01177
10366,,,,Taking drug identified by DrugBank entry DB01178
10367,,,,Taking drug identified by DrugBank entry DB01179
10368,,,,Taking drug identified by DrugBank entry DB01180
10369,,,,Taking drug identified by DrugBank entry DB01181
10370,,,,Taking drug identified by DrugBank entry DB01182
10371,,,,Taking drug identified by DrugBank entry DB01183
10372,,,,Taking drug identified by DrugBank entry DB01184
10373,,,,Taking drug identified by DrugBank entry DB01185
10374,,,,Taking drug identified by DrugBank entry DB01186
10375,,,,Taking drug identified by DrugBank entry DB01187
10376,,,,Taking drug identified by DrugBank entry DB01188
10377,,,,Taking drug identified by DrugBank entry DB01189
10378,,,,Taking drug identified by DrugBank entry DB01190
10379,,,,Taking drug identified by DrugBank entry DB01191
10380,,,,Taking drug identified by DrugBank entry DB01192
10381,,,,Taking drug identified by DrugBank entry DB01193
10382,,,,Taking drug identified by DrugBank entry DB01194
10383,,,,Taking drug identified by DrugBank entry DB01195
10384,,,,Taking drug identified by DrugBank entry DB01196
10385,,,,Taking drug identified by DrugBank entry DB01197
10386,,,,Taking drug identified by DrugBank entry DB01198
10387,,,,Taking drug identified by DrugBank entry DB01199
10388,,,,Taking drug identified by DrugBank entry DB01200
10389,,,,Taking drug identified by DrugBank entry DB01201
10390,,,,Taking drug identified by DrugBank entry DB01202
10391,,,,Taking drug identified by DrugBank entry DB01203
10392,,,,Taking drug identified by DrugBank entry DB01204
10393,,,,Taking drug identified by DrugBank entry DB01205
10394,,,,Taking drug identified by DrugBank entry DB01206
10395,,,,Taking drug identified by DrugBank entry DB01207
10396,,,,Taking drug identified by DrugBank entry DB01208
10397,,,,Taking drug identified by DrugBank entry DB01209
10398,,,,Taking drug identified by DrugBank entry DB01210
10399,,,,Taking drug identified by DrugBank entry DB01211
10400,,,,Taking drug identified by DrugBank entry DB01212
10401,,,,Taking drug identified by DrugBank entry DB01213
10402,,,,Taking drug identified by DrugBank entry DB01214
10403,,,,Taking drug identified by DrugBank entry DB01215
10404,,,,Taking drug identified by DrugBank entry DB01217
10405,,,,Taking drug identified by DrugBank entry DB01218
10406,,,,Taking drug identified by DrugBank entry DB01219
10407,,,,Taking drug identified by DrugBank entry DB01220
10408,,,,Taking drug identified by DrugBank entry DB01221
10409,,,,Taking drug identified by DrugBank entry DB01222
10410,,,,Taking drug identified by DrugBank entry DB01226
10411,,,,Taking drug identified by DrugBank entry DB01227
10412,,,,Taking drug identified by DrugBank entry DB01228
10413,,,,Taking drug identified by DrugBank entry DB01229
10414,,,,Taking drug identified by DrugBank entry DB01231
10415,,,,Taking drug identified by DrugBank entry DB01232
10416,,,,Taking drug identified by DrugBank entry DB01233
10417,,,,Taking drug identified by DrugBank entry DB01234
10418,,,,Taking drug identified by DrugBank entry DB01236
10419,,,,Taking drug identified by DrugBank entry DB01237
10420,,,,Taking drug identified by DrugBank entry DB01239
10421,,,,Taking drug identified by DrugBank entry DB01241
10422,,,,Taking drug identified by DrugBank entry DB01242
10423,,,,Taking drug identified by DrugBank entry DB01243
10424,,,,Taking drug identified by DrugBank entry DB01244
10425,,,,Taking drug identified by DrugBank entry DB01245
10426,,,,Taking drug identified by DrugBank entry DB01246
10427,,,,Taking drug identified by DrugBank entry DB01247
10428,,,,Taking drug identified by DrugBank entry DB01248
10429,,,,Taking drug identified by DrugBank entry DB01249
10430,,,,Taking drug identified by DrugBank entry DB01250
10431,,,,Taking drug identified by DrugBank entry DB01251
10432,,,,Taking drug identified by DrugBank entry DB01252
10433,,,,Taking drug identified by DrugBank entry DB01253
10434,,,,Taking drug identified by DrugBank entry DB01254
10435,,,,Taking drug identified by DrugBank entry DB01255
10436,,,,Taking drug identified by DrugBank entry DB01256
10437,,,,Taking drug identified by DrugBank entry DB01258
10438,,,,Taking drug identified by DrugBank entry DB01259
10439,,,,Taking drug identified by DrugBank entry DB01260
10440,,,,Taking drug identified by DrugBank entry DB01261
10441,,,,Taking drug identified by DrugBank entry DB01262
10442,,,,Taking drug identified by DrugBank entry DB01263
10443,,,,Taking drug identified by DrugBank entry DB01264
10444,,,,Taking drug identified by DrugBank entry DB01265
10445,,,,Taking drug identified by DrugBank entry DB01267
10446,,,,Taking drug identified by DrugBank entry DB01268
10447,,,,Taking drug identified by DrugBank entry DB01273
10448,,,,Taking drug identified by DrugBank entry DB01274
10449,,,,Taking drug identified by DrugBank entry DB01275
10450,,,,Taking drug identified by DrugBank entry DB01280
10451,,,,Taking drug identified by DrugBank entry DB01282
10452,,,,Taking drug identified by DrugBank entry DB01283
10453,,,,Taking drug identified by DrugBank entry DB01288
10454,,,,Taking drug identified by DrugBank entry DB01289
10455,,,,Taking drug identified by DrugBank entry DB01291
10456,,,,Taking drug identified by DrugBank entry DB01294
10457,,,,Taking drug identified by DrugBank entry DB01295
10458,,,,Taking drug identified by DrugBank entry DB01297
10459,,,,Taking drug identified by DrugBank entry DB01298
10460,,,,Taking drug identified by DrugBank entry DB01299
10461,,,,Taking drug identified by DrugBank entry DB01301
10462,,,,Taking drug identified by DrugBank entry DB01319
10463,,,,Taking drug identified by DrugBank entry DB01320
10464,,,,Taking drug identified by DrugBank entry DB01321
10465,,,,Taking drug identified by DrugBank entry DB01324
10466,,,,Taking drug identified by DrugBank entry DB01325
10467,,,,Taking drug identified by DrugBank entry DB01326
10468,,,,Taking drug identified by DrugBank entry DB01327
10469,,,,Taking drug identified by DrugBank entry DB01328
10470,,,,Taking drug identified by DrugBank entry DB01329
10471,,,,Taking drug identified by DrugBank entry DB01330
10472,,,,Taking drug identified by DrugBank entry DB01331
10473,,,,Taking drug identified by DrugBank entry DB01332
10474,,,,Taking drug identified by DrugBank entry DB01333
10475,,,,Taking drug identified by DrugBank entry DB01336
10476,,,,Taking drug identified by DrugBank entry DB01337
10477,,,,Taking drug identified by DrugBank entry DB01338
10478,,,,Taking drug identified by DrugBank entry DB01339
10479,,,,Taking drug identified by DrugBank entry DB01340
10480,,,,Taking drug identified by DrugBank entry DB01342
10481,,,,Taking drug identified by DrugBank entry DB01344
10482,,,,Taking drug identified by DrugBank entry DB01347
10483,,,,Taking drug identified by DrugBank entry DB01348
10484,,,,Taking drug identified by DrugBank entry DB01349
10485,,,,Taking drug identified by DrugBank entry DB01351
10486,,,,Taking drug identified by DrugBank entry DB01352
10487,,,,Taking drug identified by DrugBank entry DB01353
10488,,,,Taking drug identified by DrugBank entry DB01354
10489,,,,Taking drug identified by DrugBank entry DB01355
10490,,,,Taking drug identified by DrugBank entry DB01357
10491,,,,Taking drug identified by DrugBank entry DB01359
10492,,,,Taking drug identified by DrugBank entry DB01361
10493,,,,Taking drug identified by DrugBank entry DB01362
10494,,,,Taking drug identified by DrugBank entry DB01364
10495,,,,Taking drug identified by DrugBank entry DB01365
10496,,,,Taking drug identified by DrugBank entry DB01366
10497,,,,Taking drug identified by DrugBank entry DB01367
10498,,,,Taking drug identified by DrugBank entry DB01369
10499,,,,Taking drug identified by DrugBank entry DB01377
10500,,,,Taking drug identified by DrugBank entry DB01380
10501,,,,Taking drug identified by DrugBank entry DB01382
10502,,,,Taking drug identified by DrugBank entry DB01384
10503,,,,Taking drug identified by DrugBank entry DB01392
10504,,,,Taking drug identified by DrugBank entry DB01393
10505,,,,Taking drug identified by DrugBank entry DB01394
10506,,,,Taking drug identified by DrugBank entry DB01395
10507,,,,Taking drug identified by DrugBank entry DB01396
10508,,,,Taking drug identified by DrugBank entry DB01397
10509,,,,Taking drug identified by DrugBank entry DB01399
