,Value(uM),Patient Age,Patient Sex,Patient Information,Comment,File
22715,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67691
22716,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67692
22717,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67693
22718,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67694
22719,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67695
22720,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67696
22721,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67697
22722,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67698
22723,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67699
22724,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67700
22725,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67701
22726,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67702
22727,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67703
22728,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67704
22729,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67705
22730,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67706
22731,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67707
22732,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67708
22733,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67709
22734,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67710
22735,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67711
22736,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67712
22737,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67713
22738,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67714
22739,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67715
22740,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67716
22741,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67717
22742,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67718
22743,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67719
22744,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67720
22745,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67721
22746,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67722
22747,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67723
22748,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67724
22749,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67725
22750,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67726
22751,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67727
22752,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67728
22753,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67729
22754,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67730
22755,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67731
22756,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67732
22757,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67733
22758,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67734
22759,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67735
22760,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67736
22761,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67737
22762,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67738
22763,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67739
22764,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67740
22765,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67741
22766,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67742
22767,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67743
22768,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67744
22769,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67745
22770,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67746
22771,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67747
22772,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67748
22773,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67749
22774,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67750
22775,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67751
22776,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67752
22777,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67753
22778,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67754
22779,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67755
22780,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67756
22781,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67757
22782,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67758
22783,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67759
22784,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67760
22785,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67761
22786,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67762
22787,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67763
22788,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67764
22789,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67765
22790,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67766
22791,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67767
22792,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67768
22793,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67769
22794,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67770
22795,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67771
22796,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67772
22797,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67773
22798,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67774
22799,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67775
22800,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67776
22801,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67777
22802,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67778
22803,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67779
22804,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67780
22805,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67781
22806,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67782
22807,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67783
22808,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67784
22809,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67785
22810,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67786
22811,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67787
22812,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67788
22813,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67789
22814,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67790
22815,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67791
22816,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67792
22817,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67793
22818,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67794
22819,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67795
22820,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67796
22821,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67797
22822,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67798
22823,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67799
22824,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67800
22825,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67801
22826,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67802
22827,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67803
22828,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67804
22829,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67805
22830,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67806
22831,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67807
22832,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67808
22833,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67809
22834,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67810
22835,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67811
22836,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67812
22837,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67813
22838,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67814
22839,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67815
22840,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67816
22841,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67817
22842,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67818
22843,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67819
22844,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67820
22845,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67821
22846,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67822
22847,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67823
22848,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67824
22849,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67825
22850,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67826
22851,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67827
22852,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67828
22853,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67829
22854,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67830
22855,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67831
22856,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67832
22857,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67833
22858,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67834
22859,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67835
22860,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67836
22861,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67837
22862,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67838
22863,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67839
22864,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67840
22865,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67841
22866,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67842
22867,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67843
22868,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67844
22869,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67845
22870,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67846
22871,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67847
22872,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67848
22873,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67849
22874,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67850
22875,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67851
22876,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67852
22877,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67853
22878,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67854
22879,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67855
22880,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67856
22881,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67857
22882,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67858
22883,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67859
22884,,Adult Not Specified,Both,Barth Syndrome,None,hmdb_metabolites-67860
22885,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67861
22886,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67862
22887,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67863
22888,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67864
22889,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67865
22890,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67866
22891,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67867
22892,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67868
22893,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67869
22894,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67870
22895,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67871
22896,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67872
22897,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67873
22898,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67874
22899,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67875
22900,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67876
22901,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67877
22902,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67878
22903,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67879
22904,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67880
22905,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67881
22906,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67882
22907,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67883
22908,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67884
22909,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67885
22910,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67886
22911,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67887
22912,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67888
22913,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67889
22914,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67890
22915,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67891
22916,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67892
22917,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67893
22918,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67894
22919,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67895
22920,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67896
22921,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67897
22922,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67898
22923,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67899
22924,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67900
22925,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67901
22926,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67902
22927,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67903
22928,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67904
22929,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67905
22930,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-67906
