,Value(uM),Patient Age,Patient Sex,Patient Information,Comment
22332,,Children (1-13 years old),Both,Barth Syndrome,None
22333,,Children (1-13 years old),Both,Barth Syndrome,None
22334,,Children (1-13 years old),Both,Barth Syndrome,None
22335,,Children (1-13 years old),Both,Barth Syndrome,None
22336,,Children (1-13 years old),Both,Barth Syndrome,None
22337,,Children (1-13 years old),Both,Barth Syndrome,None
22338,,Children (1-13 years old),Both,Barth Syndrome,None
22339,,Children (1-13 years old),Both,Barth Syndrome,None
22340,,Children (1-13 years old),Both,Barth Syndrome,None
22341,,Children (1-13 years old),Both,Barth Syndrome,None
22342,,Children (1-13 years old),Both,Barth Syndrome,None
22343,,Children (1-13 years old),Both,Barth Syndrome,None
22344,,Children (1-13 years old),Both,Barth Syndrome,None
22345,,Children (1-13 years old),Both,Barth Syndrome,None
22346,,Children (1-13 years old),Both,Barth Syndrome,None
22347,,Children (1-13 years old),Both,Barth Syndrome,None
22348,,Children (1-13 years old),Both,Barth Syndrome,None
22349,,Children (1-13 years old),Both,Barth Syndrome,None
22350,,Children (1-13 years old),Both,Barth Syndrome,None
22351,,Children (1-13 years old),Both,Barth Syndrome,None
22352,,Children (1-13 years old),Both,Barth Syndrome,None
22353,,Children (1-13 years old),Both,Barth Syndrome,None
22354,,Children (1-13 years old),Both,Barth Syndrome,None
22355,,Children (1-13 years old),Both,Barth Syndrome,None
22356,,Children (1-13 years old),Both,Barth Syndrome,None
22357,,Children (1-13 years old),Both,Barth Syndrome,None
22358,,Children (1-13 years old),Both,Barth Syndrome,None
22359,,Children (1-13 years old),Both,Barth Syndrome,None
22360,,Children (1-13 years old),Both,Barth Syndrome,None
22361,,Children (1-13 years old),Both,Barth Syndrome,None
22362,,Children (1-13 years old),Both,Barth Syndrome,None
22363,,Children (1-13 years old),Both,Barth Syndrome,None
22364,,Children (1-13 years old),Both,Barth Syndrome,None
22365,,Children (1-13 years old),Both,Barth Syndrome,None
22366,,Children (1-13 years old),Both,Barth Syndrome,None
22367,,Children (1-13 years old),Both,Barth Syndrome,None
22368,,Children (1-13 years old),Both,Barth Syndrome,None
22369,,Children (1-13 years old),Both,Barth Syndrome,None
22370,,Children (1-13 years old),Both,Barth Syndrome,None
22371,,Children (1-13 years old),Both,Barth Syndrome,None
22372,,Children (1-13 years old),Both,Barth Syndrome,None
22373,,Children (1-13 years old),Both,Barth Syndrome,None
22374,,Children (1-13 years old),Both,Barth Syndrome,None
22375,,Children (1-13 years old),Both,Barth Syndrome,None
22376,,Children (1-13 years old),Both,Barth Syndrome,None
22377,,Children (1-13 years old),Both,Barth Syndrome,None
22378,,Children (1-13 years old),Both,Barth Syndrome,None
22379,,Children (1-13 years old),Both,Barth Syndrome,None
22380,,Children (1-13 years old),Both,Barth Syndrome,None
22381,,Children (1-13 years old),Both,Barth Syndrome,None
22382,,Children (1-13 years old),Both,Barth Syndrome,None
22383,,Children (1-13 years old),Both,Barth Syndrome,None
22384,,Children (1-13 years old),Both,Barth Syndrome,None
22385,,Children (1-13 years old),Both,Barth Syndrome,None
22386,,Children (1-13 years old),Both,Barth Syndrome,None
22387,,Children (1-13 years old),Both,Barth Syndrome,None
22388,,Children (1-13 years old),Both,Barth Syndrome,None
22389,,Children (1-13 years old),Both,Barth Syndrome,None
22390,,Children (1-13 years old),Both,Barth Syndrome,None
22391,,Children (1-13 years old),Both,Barth Syndrome,None
22392,,Children (1-13 years old),Both,Barth Syndrome,None
22393,,Children (1-13 years old),Both,Barth Syndrome,None
22394,,Children (1-13 years old),Both,Barth Syndrome,None
22395,,Children (1-13 years old),Both,Barth Syndrome,None
22396,,Children (1-13 years old),Both,Barth Syndrome,None
22397,,Children (1-13 years old),Both,Barth Syndrome,None
22398,,Children (1-13 years old),Both,Barth Syndrome,None
22399,,Children (1-13 years old),Both,Barth Syndrome,None
22400,,Children (1-13 years old),Both,Barth Syndrome,None
22401,,Children (1-13 years old),Both,Barth Syndrome,None
22402,,Children (1-13 years old),Both,Barth Syndrome,None
22403,,Children (1-13 years old),Both,Barth Syndrome,None
22404,,Children (1-13 years old),Both,Barth Syndrome,None
22405,,Children (1-13 years old),Both,Barth Syndrome,None
22406,,Children (1-13 years old),Both,Barth Syndrome,None
22407,,Children (1-13 years old),Both,Barth Syndrome,None
22408,,Children (1-13 years old),Both,Barth Syndrome,None
22409,,Children (1-13 years old),Both,Barth Syndrome,None
22410,,Children (1-13 years old),Both,Barth Syndrome,None
22411,,Children (1-13 years old),Both,Barth Syndrome,None
22412,,Children (1-13 years old),Both,Barth Syndrome,None
22413,,Children (1-13 years old),Both,Barth Syndrome,None
22414,,Children (1-13 years old),Both,Barth Syndrome,None
22415,,Children (1-13 years old),Both,Barth Syndrome,None
22416,,Children (1-13 years old),Both,Barth Syndrome,None
22417,,Children (1-13 years old),Both,Barth Syndrome,None
22418,,Children (1-13 years old),Both,Barth Syndrome,None
22419,,Children (1-13 years old),Both,Barth Syndrome,None
22420,,Children (1-13 years old),Both,Barth Syndrome,None
22421,,Children (1-13 years old),Both,Barth Syndrome,None
22422,,Children (1-13 years old),Both,Barth Syndrome,None
22423,,Children (1-13 years old),Both,Barth Syndrome,None
22424,,Children (1-13 years old),Both,Barth Syndrome,None
22425,,Children (1-13 years old),Both,Barth Syndrome,None
22426,,Children (1-13 years old),Both,Barth Syndrome,None
22427,,Children (1-13 years old),Both,Barth Syndrome,None
22428,,Children (1-13 years old),Both,Barth Syndrome,None
22429,,Children (1-13 years old),Both,Barth Syndrome,None
22430,,Children (1-13 years old),Both,Barth Syndrome,None
22431,,Children (1-13 years old),Both,Barth Syndrome,None
22432,,Children (1-13 years old),Both,Barth Syndrome,None
22433,,Children (1-13 years old),Both,Barth Syndrome,None
22434,,Children (1-13 years old),Both,Barth Syndrome,None
22435,,Children (1-13 years old),Both,Barth Syndrome,None
22436,,Children (1-13 years old),Both,Barth Syndrome,None
22437,,Children (1-13 years old),Both,Barth Syndrome,None
22438,,Children (1-13 years old),Both,Barth Syndrome,None
22439,,Children (1-13 years old),Both,Barth Syndrome,None
22440,,Children (1-13 years old),Both,Barth Syndrome,None
22441,,Children (1-13 years old),Both,Barth Syndrome,None
22442,,Children (1-13 years old),Both,Barth Syndrome,None
22443,,Children (1-13 years old),Both,Barth Syndrome,None
22444,,Children (1-13 years old),Both,Barth Syndrome,None
22445,,Children (1-13 years old),Both,Barth Syndrome,None
22446,,Children (1-13 years old),Both,Barth Syndrome,None
22447,,Children (1-13 years old),Both,Barth Syndrome,None
22448,,Children (1-13 years old),Both,Barth Syndrome,None
22449,,Children (1-13 years old),Both,Barth Syndrome,None
22450,,Children (1-13 years old),Both,Barth Syndrome,None
22451,,Children (1-13 years old),Both,Barth Syndrome,None
22452,,Children (1-13 years old),Both,Barth Syndrome,None
22453,,Children (1-13 years old),Both,Barth Syndrome,None
22454,,Children (1-13 years old),Both,Barth Syndrome,None
22455,,Children (1-13 years old),Both,Barth Syndrome,None
22456,,Children (1-13 years old),Both,Barth Syndrome,None
22457,,Children (1-13 years old),Both,Barth Syndrome,None
22458,,Children (1-13 years old),Both,Barth Syndrome,None
22459,,Children (1-13 years old),Both,Barth Syndrome,None
22460,,Children (1-13 years old),Both,Barth Syndrome,None
22461,,Children (1-13 years old),Both,Barth Syndrome,None
22462,,Children (1-13 years old),Both,Barth Syndrome,None
22463,,Children (1-13 years old),Both,Barth Syndrome,None
22464,,Children (1-13 years old),Both,Barth Syndrome,None
22465,,Children (1-13 years old),Both,Barth Syndrome,None
22466,,Children (1-13 years old),Both,Barth Syndrome,None
22467,,Children (1-13 years old),Both,Barth Syndrome,None
22468,,Children (1-13 years old),Both,Barth Syndrome,None
22469,,Children (1-13 years old),Both,Barth Syndrome,None
22470,,Children (1-13 years old),Both,Barth Syndrome,None
22471,,Children (1-13 years old),Both,Barth Syndrome,None
22472,,Children (1-13 years old),Both,Barth Syndrome,None
22473,,Children (1-13 years old),Both,Barth Syndrome,None
22474,,Children (1-13 years old),Both,Barth Syndrome,None
22475,,Children (1-13 years old),Both,Barth Syndrome,None
22476,,Children (1-13 years old),Both,Barth Syndrome,None
22477,,Children (1-13 years old),Both,Barth Syndrome,None
22478,,Children (1-13 years old),Both,Barth Syndrome,None
22479,,Children (1-13 years old),Both,Barth Syndrome,None
22480,,Children (1-13 years old),Both,Barth Syndrome,None
22481,,Children (1-13 years old),Both,Barth Syndrome,None
22482,,Children (1-13 years old),Both,Barth Syndrome,None
22483,,Children (1-13 years old),Both,Barth Syndrome,None
22484,,Children (1-13 years old),Both,Barth Syndrome,None
22485,,Children (1-13 years old),Both,Barth Syndrome,None
22486,,Children (1-13 years old),Both,Barth Syndrome,None
22487,,Children (1-13 years old),Both,Barth Syndrome,None
22488,,Children (1-13 years old),Both,Barth Syndrome,None
22489,,Children (1-13 years old),Both,Barth Syndrome,None
22490,,Children (1-13 years old),Both,Barth Syndrome,None
22491,,Children (1-13 years old),Both,Barth Syndrome,None
22492,,Children (1-13 years old),Both,Barth Syndrome,None
22493,,Children (1-13 years old),Both,Barth Syndrome,None
22494,,Children (1-13 years old),Both,Barth Syndrome,None
22495,,Children (1-13 years old),Both,Barth Syndrome,None
22496,,Children (1-13 years old),Both,Barth Syndrome,None
22497,,Children (1-13 years old),Both,Barth Syndrome,None
22498,,Children (1-13 years old),Both,Barth Syndrome,None
22499,,Children (1-13 years old),Both,Barth Syndrome,None
22500,,Children (1-13 years old),Both,Barth Syndrome,None
22501,,Children (1-13 years old),Both,Barth Syndrome,None
22502,,Children (1-13 years old),Both,Barth Syndrome,None
22503,,Children (1-13 years old),Both,Barth Syndrome,None
22504,,Children (1-13 years old),Both,Barth Syndrome,None
22505,,Children (1-13 years old),Both,Barth Syndrome,None
22506,,Children (1-13 years old),Both,Barth Syndrome,None
22507,,Children (1-13 years old),Both,Barth Syndrome,None
22508,,Children (1-13 years old),Both,Barth Syndrome,None
22509,,Children (1-13 years old),Both,Barth Syndrome,None
22510,,Children (1-13 years old),Both,Barth Syndrome,None
22511,,Children (1-13 years old),Both,Barth Syndrome,None
22512,,Children (1-13 years old),Both,Barth Syndrome,None
22513,,Children (1-13 years old),Both,Barth Syndrome,None
22514,,Children (1-13 years old),Both,Barth Syndrome,None
22515,,Children (1-13 years old),Both,Barth Syndrome,None
22516,,Children (1-13 years old),Both,Barth Syndrome,None
22517,,Children (1-13 years old),Both,Barth Syndrome,None
22518,,Children (1-13 years old),Both,Barth Syndrome,None
22519,,Children (1-13 years old),Both,Barth Syndrome,None
22520,,Children (1-13 years old),Both,Barth Syndrome,None
22521,,Children (1-13 years old),Both,Barth Syndrome,None
22522,,Children (1-13 years old),Both,Barth Syndrome,None
22523,,Children (1-13 years old),Both,Barth Syndrome,None
22524,,Children (1-13 years old),Both,Barth Syndrome,None
22525,,Children (1-13 years old),Both,Barth Syndrome,None
22526,,Children (1-13 years old),Both,Barth Syndrome,None
22527,,Children (1-13 years old),Both,Barth Syndrome,None
22528,,Children (1-13 years old),Both,Barth Syndrome,None
22529,,Children (1-13 years old),Both,Barth Syndrome,None
22530,,Children (1-13 years old),Both,Barth Syndrome,None
22531,,Children (1-13 years old),Both,Barth Syndrome,None
22532,,Children (1-13 years old),Both,Barth Syndrome,None
22533,,Children (1-13 years old),Both,Barth Syndrome,None
22534,,Children (1-13 years old),Both,Barth Syndrome,None
22535,,Children (1-13 years old),Both,Barth Syndrome,None
22536,,Children (1-13 years old),Both,Barth Syndrome,None
22537,,Children (1-13 years old),Both,Barth Syndrome,None
22538,,Children (1-13 years old),Both,Barth Syndrome,None
22539,,Children (1-13 years old),Both,Barth Syndrome,None
22540,,Children (1-13 years old),Both,Barth Syndrome,None
22541,,Children (1-13 years old),Both,Barth Syndrome,None
22542,,Children (1-13 years old),Both,Barth Syndrome,None
22543,,Children (1-13 years old),Both,Barth Syndrome,None
22544,,Children (1-13 years old),Both,Barth Syndrome,None
22545,,Children (1-13 years old),Both,Barth Syndrome,None
22546,,Children (1-13 years old),Both,Barth Syndrome,None
22547,,Children (1-13 years old),Both,Barth Syndrome,None
22548,,Children (1-13 years old),Both,Barth Syndrome,None
22549,,Children (1-13 years old),Both,Barth Syndrome,None
22550,,Children (1-13 years old),Both,Barth Syndrome,None
22551,,Children (1-13 years old),Both,Barth Syndrome,None
22552,,Children (1-13 years old),Both,Barth Syndrome,None
22553,,Children (1-13 years old),Both,Barth Syndrome,None
22554,,Children (1-13 years old),Both,Barth Syndrome,None
22555,,Children (1-13 years old),Both,Barth Syndrome,None
22556,,Children (1-13 years old),Both,Barth Syndrome,None
22557,,Children (1-13 years old),Both,Barth Syndrome,None
22558,,Children (1-13 years old),Both,Barth Syndrome,None
22559,,Children (1-13 years old),Both,Barth Syndrome,None
22560,,Children (1-13 years old),Both,Barth Syndrome,None
22561,,Children (1-13 years old),Both,Barth Syndrome,None
22562,,Children (1-13 years old),Both,Barth Syndrome,None
22563,,Children (1-13 years old),Both,Barth Syndrome,None
22564,,Children (1-13 years old),Both,Barth Syndrome,None
22565,,Children (1-13 years old),Both,Barth Syndrome,None
22566,,Children (1-13 years old),Both,Barth Syndrome,None
22567,,Children (1-13 years old),Both,Barth Syndrome,None
22568,,Children (1-13 years old),Both,Barth Syndrome,None
22569,,Children (1-13 years old),Both,Barth Syndrome,None
22570,,Children (1-13 years old),Both,Barth Syndrome,None
22571,,Children (1-13 years old),Both,Barth Syndrome,None
22572,,Children (1-13 years old),Both,Barth Syndrome,None
22573,,Children (1-13 years old),Both,Barth Syndrome,None
22574,,Children (1-13 years old),Both,Barth Syndrome,None
22575,,Children (1-13 years old),Both,Barth Syndrome,None
22576,,Children (1-13 years old),Both,Barth Syndrome,None
22577,,Children (1-13 years old),Both,Barth Syndrome,None
22578,,Children (1-13 years old),Both,Barth Syndrome,None
22579,,Children (1-13 years old),Both,Barth Syndrome,None
22580,,Children (1-13 years old),Both,Barth Syndrome,None
22581,,Children (1-13 years old),Both,Barth Syndrome,None
22582,,Children (1-13 years old),Both,Barth Syndrome,None
22583,,Children (1-13 years old),Both,Barth Syndrome,None
22584,,Children (1-13 years old),Both,Barth Syndrome,None
22585,,Children (1-13 years old),Both,Barth Syndrome,None
22586,,Children (1-13 years old),Both,Barth Syndrome,None
22587,,Children (1-13 years old),Both,Barth Syndrome,None
22588,,Children (1-13 years old),Both,Barth Syndrome,None
22589,,Children (1-13 years old),Both,Barth Syndrome,None
22590,,Children (1-13 years old),Both,Barth Syndrome,None
22591,,Children (1-13 years old),Both,Barth Syndrome,None
22592,,Children (1-13 years old),Both,Barth Syndrome,None
22593,,Children (1-13 years old),Both,Barth Syndrome,None
22594,,Children (1-13 years old),Both,Barth Syndrome,None
22595,,Children (1-13 years old),Both,Barth Syndrome,None
22596,,Children (1-13 years old),Both,Barth Syndrome,None
22597,,Children (1-13 years old),Both,Barth Syndrome,None
22598,,Children (1-13 years old),Both,Barth Syndrome,None
22599,,Children (1-13 years old),Both,Barth Syndrome,None
22600,,Children (1-13 years old),Both,Barth Syndrome,None
22601,,Children (1-13 years old),Both,Barth Syndrome,None
22602,,Children (1-13 years old),Both,Barth Syndrome,None
22603,,Children (1-13 years old),Both,Barth Syndrome,None
22604,,Children (1-13 years old),Both,Barth Syndrome,None
22605,,Children (1-13 years old),Both,Barth Syndrome,None
22606,,Children (1-13 years old),Both,Barth Syndrome,None
22607,,Children (1-13 years old),Both,Barth Syndrome,None
22608,,Children (1-13 years old),Both,Barth Syndrome,None
22609,,Children (1-13 years old),Both,Barth Syndrome,None
