,Name,Accession,Value(uM),Patient Age,Patient Sex,Patient Information
20553,CL(i-13:0/i-15:0/i-15:0/a-13:0)[rac],HMDB0086115,,Children (1-13 years old),Both,Barth Syndrome
20554,CL(a-13:0/i-15:0/i-15:0/a-13:0)[rac],HMDB0086116,,Children (1-13 years old),Both,Barth Syndrome
20555,CL(i-13:0/i-15:0/i-15:0/i-14:0),HMDB0086117,,Children (1-13 years old),Both,Barth Syndrome
20556,CL(a-13:0/a-15:0/a-15:0/i-14:0)[rac],HMDB0086118,,Children (1-13 years old),Both,Barth Syndrome
20557,CL(a-13:0/i-15:0/a-15:0/i-14:0)[rac],HMDB0086119,,Children (1-13 years old),Both,Barth Syndrome
20558,CL(i-13:0/i-15:0/a-15:0/i-14:0)[rac],HMDB0086120,,Children (1-13 years old),Both,Barth Syndrome
20559,CL(a-13:0/a-15:0/i-15:0/i-14:0)[rac],HMDB0086121,,Children (1-13 years old),Both,Barth Syndrome
20560,CL(a-13:0/i-15:0/i-15:0/i-14:0)[rac],HMDB0086122,,Children (1-13 years old),Both,Barth Syndrome
20561,CL(i-13:0/a-15:0/a-15:0/i-14:0)[rac],HMDB0086123,,Children (1-13 years old),Both,Barth Syndrome
20562,CL(i-13:0/a-15:0/i-15:0/i-14:0)[rac],HMDB0086124,,Children (1-13 years old),Both,Barth Syndrome
20563,CL(a-13:0/a-15:0/a-15:0/a-15:0)[rac],HMDB0086125,,Children (1-13 years old),Both,Barth Syndrome
20564,CL(i-13:0/a-15:0/i-15:0/a-15:0)[rac],HMDB0086126,,Children (1-13 years old),Both,Barth Syndrome
20565,CL(i-13:0/i-15:0/i-15:0/i-15:0),HMDB0086127,,Children (1-13 years old),Both,Barth Syndrome
20566,CL(a-13:0/a-15:0/a-15:0/i-15:0)[rac],HMDB0086128,,Children (1-13 years old),Both,Barth Syndrome
20567,CL(a-13:0/i-15:0/a-15:0/i-15:0)[rac],HMDB0086129,,Children (1-13 years old),Both,Barth Syndrome
20568,CL(i-13:0/i-15:0/a-15:0/i-15:0)[rac],HMDB0086130,,Children (1-13 years old),Both,Barth Syndrome
20569,CL(a-13:0/a-15:0/i-15:0/i-15:0)[rac],HMDB0086131,,Children (1-13 years old),Both,Barth Syndrome
20570,CL(i-13:0/a-15:0/a-15:0/a-15:0)[rac],HMDB0086132,,Children (1-13 years old),Both,Barth Syndrome
20571,CL(a-13:0/i-15:0/i-15:0/i-15:0)[rac],HMDB0086133,,Children (1-13 years old),Both,Barth Syndrome
20572,CL(a-13:0/a-15:0/i-15:0/a-15:0)[rac],HMDB0086134,,Children (1-13 years old),Both,Barth Syndrome
20573,CL(i-13:0/i-15:0/a-15:0/a-15:0)[rac],HMDB0086135,,Children (1-13 years old),Both,Barth Syndrome
20574,CL(i-12:0/i-12:0/i-12:0/i-12:0),HMDB0086136,,Children (1-13 years old),Both,Barth Syndrome
20575,CL(i-12:0/i-12:0/i-12:0/i-13:0),HMDB0086137,,Children (1-13 years old),Both,Barth Syndrome
20576,CL(i-12:0/i-12:0/i-12:0/a-13:0)[rac],HMDB0086138,,Children (1-13 years old),Both,Barth Syndrome
20577,CL(i-12:0/i-12:0/i-12:0/i-14:0),HMDB0086139,,Children (1-13 years old),Both,Barth Syndrome
20578,CL(i-12:0/i-12:0/i-12:0/i-15:0),HMDB0086140,,Children (1-13 years old),Both,Barth Syndrome
20579,CL(i-12:0/i-12:0/i-12:0/a-15:0)[rac],HMDB0086141,,Children (1-13 years old),Both,Barth Syndrome
20580,CL(i-12:0/i-12:0/i-12:0/i-16:0),HMDB0086142,,Children (1-13 years old),Both,Barth Syndrome
20581,CL(i-12:0/i-12:0/i-12:0/i-17:0),HMDB0086143,,Children (1-13 years old),Both,Barth Syndrome
20582,CL(i-12:0/i-12:0/i-12:0/a-17:0)[rac],HMDB0086144,,Children (1-13 years old),Both,Barth Syndrome
20583,"CL(i-12:0/i-12:0/i-12:0/18:2(9Z,11Z))",HMDB0086145,,Children (1-13 years old),Both,Barth Syndrome
20584,CL(i-12:0/i-12:0/i-12:0/i-18:0),HMDB0086146,,Children (1-13 years old),Both,Barth Syndrome
20585,CL(i-12:0/i-12:0/i-12:0/i-19:0),HMDB0086147,,Children (1-13 years old),Both,Barth Syndrome
20586,CL(i-12:0/i-12:0/i-12:0/i-20:0),HMDB0086148,,Children (1-13 years old),Both,Barth Syndrome
20587,CL(i-12:0/i-12:0/i-12:0/i-21:0),HMDB0086149,,Children (1-13 years old),Both,Barth Syndrome
20588,CL(i-12:0/i-12:0/i-12:0/a-21:0)[rac],HMDB0086150,,Children (1-13 years old),Both,Barth Syndrome
20589,CL(i-12:0/i-12:0/i-12:0/i-22:0),HMDB0086151,,Children (1-13 years old),Both,Barth Syndrome
20590,CL(i-12:0/i-12:0/i-12:0/i-24:0),HMDB0086152,,Children (1-13 years old),Both,Barth Syndrome
20591,CL(i-12:0/i-12:0/i-12:0/a-25:0)[rac],HMDB0086153,,Children (1-13 years old),Both,Barth Syndrome
20592,CL(i-12:0/i-12:0/i-13:0/i-12:0),HMDB0086154,,Children (1-13 years old),Both,Barth Syndrome
20593,CL(i-12:0/i-12:0/a-13:0/i-12:0)[rac],HMDB0086155,,Children (1-13 years old),Both,Barth Syndrome
20594,CL(i-12:0/i-12:0/i-13:0/i-13:0),HMDB0086156,,Children (1-13 years old),Both,Barth Syndrome
20595,CL(i-12:0/i-12:0/a-13:0/i-13:0)[rac],HMDB0086157,,Children (1-13 years old),Both,Barth Syndrome
20596,CL(i-12:0/i-12:0/a-13:0/a-13:0)[rac],HMDB0086158,,Children (1-13 years old),Both,Barth Syndrome
20597,CL(i-12:0/i-12:0/i-13:0/a-13:0)[rac],HMDB0086159,,Children (1-13 years old),Both,Barth Syndrome
20598,CL(i-12:0/i-12:0/i-13:0/i-14:0),HMDB0086160,,Children (1-13 years old),Both,Barth Syndrome
20599,CL(i-12:0/i-12:0/a-13:0/i-14:0)[rac],HMDB0086161,,Children (1-13 years old),Both,Barth Syndrome
20600,CL(i-12:0/i-12:0/i-13:0/i-15:0),HMDB0086162,,Children (1-13 years old),Both,Barth Syndrome
20601,CL(i-12:0/i-12:0/a-13:0/i-15:0)[rac],HMDB0086163,,Children (1-13 years old),Both,Barth Syndrome
20602,CL(i-12:0/i-12:0/a-13:0/a-15:0)[rac],HMDB0086164,,Children (1-13 years old),Both,Barth Syndrome
20603,CL(i-12:0/i-12:0/i-13:0/a-15:0)[rac],HMDB0086165,,Children (1-13 years old),Both,Barth Syndrome
20604,CL(i-12:0/i-12:0/i-13:0/i-16:0),HMDB0086166,,Children (1-13 years old),Both,Barth Syndrome
20605,CL(i-12:0/i-12:0/a-13:0/i-16:0)[rac],HMDB0086167,,Children (1-13 years old),Both,Barth Syndrome
20606,CL(i-12:0/i-12:0/i-13:0/i-17:0),HMDB0086168,,Children (1-13 years old),Both,Barth Syndrome
20607,CL(i-12:0/i-12:0/a-13:0/i-17:0)[rac],HMDB0086169,,Children (1-13 years old),Both,Barth Syndrome
20608,CL(i-12:0/i-12:0/a-13:0/a-17:0)[rac],HMDB0086170,,Children (1-13 years old),Both,Barth Syndrome
20609,CL(i-12:0/i-12:0/i-13:0/a-17:0)[rac],HMDB0086171,,Children (1-13 years old),Both,Barth Syndrome
20610,"CL(i-12:0/i-12:0/i-13:0/18:2(9Z,11Z))",HMDB0086172,,Children (1-13 years old),Both,Barth Syndrome
20611,CL(i-12:0/i-12:0/i-13:0/i-18:0),HMDB0086173,,Children (1-13 years old),Both,Barth Syndrome
20612,CL(i-12:0/i-12:0/a-13:0/i-18:0)[rac],HMDB0086174,,Children (1-13 years old),Both,Barth Syndrome
20613,"CL(i-12:0/i-12:0/a-13:0/18:2(9Z,11Z))[rac]",HMDB0086175,,Children (1-13 years old),Both,Barth Syndrome
20614,CL(i-12:0/i-12:0/i-13:0/i-19:0),HMDB0086176,,Children (1-13 years old),Both,Barth Syndrome
20615,CL(i-12:0/i-12:0/a-13:0/i-19:0)[rac],HMDB0086177,,Children (1-13 years old),Both,Barth Syndrome
20616,CL(i-12:0/i-12:0/i-13:0/i-20:0),HMDB0086178,,Children (1-13 years old),Both,Barth Syndrome
20617,CL(i-12:0/i-12:0/a-13:0/i-20:0)[rac],HMDB0086179,,Children (1-13 years old),Both,Barth Syndrome
20618,CL(i-12:0/i-12:0/i-13:0/i-21:0),HMDB0086180,,Children (1-13 years old),Both,Barth Syndrome
20619,CL(i-12:0/i-12:0/a-13:0/i-21:0)[rac],HMDB0086181,,Children (1-13 years old),Both,Barth Syndrome
20620,CL(i-12:0/i-12:0/a-13:0/a-21:0)[rac],HMDB0086182,,Children (1-13 years old),Both,Barth Syndrome
20621,CL(i-12:0/i-12:0/i-13:0/a-21:0)[rac],HMDB0086183,,Children (1-13 years old),Both,Barth Syndrome
20622,CL(i-12:0/i-12:0/i-13:0/i-22:0),HMDB0086184,,Children (1-13 years old),Both,Barth Syndrome
20623,CL(i-12:0/i-12:0/a-13:0/i-22:0)[rac],HMDB0086185,,Children (1-13 years old),Both,Barth Syndrome
20624,CL(i-12:0/i-12:0/i-13:0/i-24:0),HMDB0086186,,Children (1-13 years old),Both,Barth Syndrome
20625,CL(i-12:0/i-12:0/a-13:0/i-24:0)[rac],HMDB0086187,,Children (1-13 years old),Both,Barth Syndrome
20626,CL(i-12:0/i-12:0/a-13:0/a-25:0)[rac],HMDB0086188,,Children (1-13 years old),Both,Barth Syndrome
20627,CL(i-12:0/i-12:0/i-13:0/a-25:0)[rac],HMDB0086189,,Children (1-13 years old),Both,Barth Syndrome
20628,CL(i-12:0/i-12:0/i-14:0/i-12:0),HMDB0086190,,Children (1-13 years old),Both,Barth Syndrome
20629,CL(i-12:0/i-12:0/i-14:0/i-13:0),HMDB0086191,,Children (1-13 years old),Both,Barth Syndrome
20630,CL(i-12:0/i-12:0/i-14:0/a-13:0)[rac],HMDB0086192,,Children (1-13 years old),Both,Barth Syndrome
20631,CL(i-12:0/i-12:0/i-14:0/i-14:0),HMDB0086193,,Children (1-13 years old),Both,Barth Syndrome
20632,CL(i-12:0/i-12:0/i-14:0/i-15:0),HMDB0086194,,Children (1-13 years old),Both,Barth Syndrome
20633,CL(i-12:0/i-12:0/i-14:0/a-15:0)[rac],HMDB0086195,,Children (1-13 years old),Both,Barth Syndrome
20634,CL(i-12:0/i-12:0/i-14:0/i-16:0),HMDB0086196,,Children (1-13 years old),Both,Barth Syndrome
20635,CL(i-12:0/i-12:0/i-14:0/i-17:0),HMDB0086197,,Children (1-13 years old),Both,Barth Syndrome
20636,CL(i-12:0/i-12:0/i-14:0/a-17:0)[rac],HMDB0086198,,Children (1-13 years old),Both,Barth Syndrome
20637,"CL(i-12:0/i-12:0/i-14:0/18:2(9Z,11Z))",HMDB0086199,,Children (1-13 years old),Both,Barth Syndrome
20638,CL(i-12:0/i-12:0/i-14:0/i-18:0),HMDB0086200,,Children (1-13 years old),Both,Barth Syndrome
20639,CL(i-12:0/i-12:0/i-14:0/i-19:0),HMDB0086201,,Children (1-13 years old),Both,Barth Syndrome
20640,CL(i-12:0/i-12:0/i-14:0/i-20:0),HMDB0086202,,Children (1-13 years old),Both,Barth Syndrome
20641,CL(i-12:0/i-12:0/i-14:0/i-21:0),HMDB0086203,,Children (1-13 years old),Both,Barth Syndrome
20642,CL(i-12:0/i-12:0/i-14:0/a-21:0)[rac],HMDB0086204,,Children (1-13 years old),Both,Barth Syndrome
20643,CL(i-12:0/i-12:0/i-14:0/i-22:0),HMDB0086205,,Children (1-13 years old),Both,Barth Syndrome
20644,CL(i-12:0/i-12:0/i-14:0/i-24:0),HMDB0086206,,Children (1-13 years old),Both,Barth Syndrome
20645,CL(i-12:0/i-12:0/i-14:0/a-25:0)[rac],HMDB0086207,,Children (1-13 years old),Both,Barth Syndrome
20646,CL(i-12:0/i-12:0/i-15:0/i-12:0),HMDB0086208,,Children (1-13 years old),Both,Barth Syndrome
20647,CL(i-12:0/i-12:0/a-15:0/i-12:0)[rac],HMDB0086209,,Children (1-13 years old),Both,Barth Syndrome
20648,CL(i-12:0/i-12:0/i-15:0/i-13:0),HMDB0086210,,Children (1-13 years old),Both,Barth Syndrome
20649,CL(i-12:0/i-12:0/a-15:0/i-13:0)[rac],HMDB0086211,,Children (1-13 years old),Both,Barth Syndrome
20650,CL(i-12:0/i-12:0/a-15:0/a-13:0)[rac],HMDB0086212,,Children (1-13 years old),Both,Barth Syndrome
20651,CL(i-12:0/i-12:0/i-15:0/a-13:0)[rac],HMDB0086213,,Children (1-13 years old),Both,Barth Syndrome
20652,CL(i-12:0/i-12:0/i-15:0/i-14:0),HMDB0086214,,Children (1-13 years old),Both,Barth Syndrome
20653,CL(i-12:0/i-12:0/a-15:0/i-14:0)[rac],HMDB0086215,,Children (1-13 years old),Both,Barth Syndrome
20654,CL(i-12:0/i-12:0/i-15:0/i-15:0),HMDB0086216,,Children (1-13 years old),Both,Barth Syndrome
20655,CL(i-12:0/i-12:0/a-15:0/i-15:0)[rac],HMDB0086217,,Children (1-13 years old),Both,Barth Syndrome
20656,CL(i-12:0/i-12:0/a-15:0/a-15:0)[rac],HMDB0086218,,Children (1-13 years old),Both,Barth Syndrome
20657,CL(i-12:0/i-12:0/i-15:0/a-15:0)[rac],HMDB0086219,,Children (1-13 years old),Both,Barth Syndrome
20658,CL(i-12:0/i-12:0/i-15:0/i-16:0),HMDB0086220,,Children (1-13 years old),Both,Barth Syndrome
20659,CL(i-12:0/i-12:0/a-15:0/i-16:0)[rac],HMDB0086221,,Children (1-13 years old),Both,Barth Syndrome
20660,CL(i-12:0/i-12:0/i-15:0/i-17:0),HMDB0086222,,Children (1-13 years old),Both,Barth Syndrome
20661,CL(i-12:0/i-12:0/a-15:0/i-17:0)[rac],HMDB0086223,,Children (1-13 years old),Both,Barth Syndrome
20662,CL(i-12:0/i-12:0/a-15:0/a-17:0)[rac],HMDB0086224,,Children (1-13 years old),Both,Barth Syndrome
20663,CL(i-12:0/i-12:0/i-15:0/a-17:0)[rac],HMDB0086225,,Children (1-13 years old),Both,Barth Syndrome
20664,"CL(i-12:0/i-12:0/i-15:0/18:2(9Z,11Z))",HMDB0086226,,Children (1-13 years old),Both,Barth Syndrome
20665,CL(i-12:0/i-12:0/i-15:0/i-18:0),HMDB0086227,,Children (1-13 years old),Both,Barth Syndrome
20666,CL(i-12:0/i-12:0/a-15:0/i-18:0)[rac],HMDB0086228,,Children (1-13 years old),Both,Barth Syndrome
20667,"CL(i-12:0/i-12:0/a-15:0/18:2(9Z,11Z))[rac]",HMDB0086229,,Children (1-13 years old),Both,Barth Syndrome
20668,CL(i-12:0/i-12:0/i-15:0/i-19:0),HMDB0086230,,Children (1-13 years old),Both,Barth Syndrome
20669,CL(i-12:0/i-12:0/a-15:0/i-19:0)[rac],HMDB0086231,,Children (1-13 years old),Both,Barth Syndrome
20670,CL(i-12:0/i-12:0/i-15:0/i-20:0),HMDB0086232,,Children (1-13 years old),Both,Barth Syndrome
20671,CL(i-12:0/i-12:0/a-15:0/i-20:0)[rac],HMDB0086233,,Children (1-13 years old),Both,Barth Syndrome
20672,CL(i-12:0/i-12:0/i-15:0/i-21:0),HMDB0086234,,Children (1-13 years old),Both,Barth Syndrome
20673,CL(i-12:0/i-12:0/a-15:0/i-21:0)[rac],HMDB0086235,,Children (1-13 years old),Both,Barth Syndrome
20674,CL(i-12:0/i-12:0/a-15:0/a-21:0)[rac],HMDB0086236,,Children (1-13 years old),Both,Barth Syndrome
20675,CL(i-12:0/i-12:0/i-15:0/a-21:0)[rac],HMDB0086237,,Children (1-13 years old),Both,Barth Syndrome
20676,CL(i-12:0/i-12:0/i-15:0/i-22:0),HMDB0086238,,Children (1-13 years old),Both,Barth Syndrome
20677,CL(i-12:0/i-12:0/a-15:0/i-22:0)[rac],HMDB0086239,,Children (1-13 years old),Both,Barth Syndrome
20678,CL(i-12:0/i-12:0/i-15:0/i-24:0),HMDB0086240,,Children (1-13 years old),Both,Barth Syndrome
20679,CL(i-12:0/i-12:0/a-15:0/i-24:0)[rac],HMDB0086241,,Children (1-13 years old),Both,Barth Syndrome
20680,CL(i-12:0/i-12:0/a-15:0/a-25:0)[rac],HMDB0086242,,Children (1-13 years old),Both,Barth Syndrome
20681,CL(i-12:0/i-12:0/i-15:0/a-25:0)[rac],HMDB0086243,,Children (1-13 years old),Both,Barth Syndrome
20682,CL(i-12:0/i-12:0/i-16:0/i-12:0),HMDB0086244,,Children (1-13 years old),Both,Barth Syndrome
20683,CL(i-12:0/i-12:0/i-16:0/i-13:0),HMDB0086245,,Children (1-13 years old),Both,Barth Syndrome
20684,CL(i-12:0/i-12:0/i-16:0/a-13:0)[rac],HMDB0086246,,Children (1-13 years old),Both,Barth Syndrome
20685,CL(i-12:0/i-12:0/i-16:0/i-14:0),HMDB0086247,,Children (1-13 years old),Both,Barth Syndrome
20686,CL(i-12:0/i-12:0/i-16:0/i-15:0),HMDB0086248,,Children (1-13 years old),Both,Barth Syndrome
20687,CL(i-12:0/i-12:0/i-16:0/a-15:0)[rac],HMDB0086249,,Children (1-13 years old),Both,Barth Syndrome
20688,CL(i-12:0/i-12:0/i-16:0/i-16:0),HMDB0086250,,Children (1-13 years old),Both,Barth Syndrome
20689,CL(i-12:0/i-12:0/i-16:0/i-17:0),HMDB0086251,,Children (1-13 years old),Both,Barth Syndrome
20690,CL(i-12:0/i-12:0/i-16:0/a-17:0)[rac],HMDB0086252,,Children (1-13 years old),Both,Barth Syndrome
20691,"CL(i-12:0/i-12:0/i-16:0/18:2(9Z,11Z))",HMDB0086253,,Children (1-13 years old),Both,Barth Syndrome
20692,CL(i-12:0/i-12:0/i-16:0/i-18:0),HMDB0086254,,Children (1-13 years old),Both,Barth Syndrome
20693,CL(i-12:0/i-12:0/i-16:0/i-19:0),HMDB0086255,,Children (1-13 years old),Both,Barth Syndrome
20694,CL(i-12:0/i-12:0/i-16:0/i-20:0),HMDB0086256,,Children (1-13 years old),Both,Barth Syndrome
20695,CL(i-12:0/i-12:0/i-16:0/i-21:0),HMDB0086257,,Children (1-13 years old),Both,Barth Syndrome
20696,CL(i-12:0/i-12:0/i-16:0/a-21:0)[rac],HMDB0086258,,Children (1-13 years old),Both,Barth Syndrome
20697,CL(i-12:0/i-12:0/i-16:0/i-22:0),HMDB0086259,,Children (1-13 years old),Both,Barth Syndrome
20698,CL(i-12:0/i-12:0/i-16:0/i-24:0),HMDB0086260,,Children (1-13 years old),Both,Barth Syndrome
20699,CL(i-12:0/i-12:0/i-16:0/a-25:0)[rac],HMDB0086261,,Children (1-13 years old),Both,Barth Syndrome
20700,CL(i-12:0/i-12:0/i-17:0/i-12:0),HMDB0086262,,Children (1-13 years old),Both,Barth Syndrome
20701,CL(i-12:0/i-12:0/a-17:0/i-12:0)[rac],HMDB0086263,,Children (1-13 years old),Both,Barth Syndrome
20702,CL(i-12:0/i-12:0/i-17:0/i-13:0),HMDB0086264,,Children (1-13 years old),Both,Barth Syndrome
20703,CL(i-12:0/i-12:0/a-17:0/i-13:0)[rac],HMDB0086265,,Children (1-13 years old),Both,Barth Syndrome
20704,CL(i-12:0/i-12:0/a-17:0/a-13:0)[rac],HMDB0086266,,Children (1-13 years old),Both,Barth Syndrome
20705,CL(i-12:0/i-12:0/i-17:0/a-13:0)[rac],HMDB0086267,,Children (1-13 years old),Both,Barth Syndrome
20706,CL(i-12:0/i-12:0/i-17:0/i-14:0),HMDB0086268,,Children (1-13 years old),Both,Barth Syndrome
20707,CL(i-12:0/i-12:0/a-17:0/i-14:0)[rac],HMDB0086269,,Children (1-13 years old),Both,Barth Syndrome
20708,CL(i-12:0/i-12:0/i-17:0/i-15:0),HMDB0086270,,Children (1-13 years old),Both,Barth Syndrome
20709,CL(i-12:0/i-12:0/a-17:0/i-15:0)[rac],HMDB0086271,,Children (1-13 years old),Both,Barth Syndrome
20710,CL(i-12:0/i-12:0/a-17:0/a-15:0)[rac],HMDB0086272,,Children (1-13 years old),Both,Barth Syndrome
20711,CL(i-12:0/i-12:0/i-17:0/a-15:0)[rac],HMDB0086273,,Children (1-13 years old),Both,Barth Syndrome
20712,CL(i-12:0/i-12:0/i-17:0/i-16:0),HMDB0086274,,Children (1-13 years old),Both,Barth Syndrome
20713,CL(i-12:0/i-12:0/a-17:0/i-16:0)[rac],HMDB0086275,,Children (1-13 years old),Both,Barth Syndrome
20714,CL(i-12:0/i-12:0/i-17:0/i-17:0),HMDB0086276,,Children (1-13 years old),Both,Barth Syndrome
20715,CL(i-12:0/i-12:0/a-17:0/i-17:0)[rac],HMDB0086277,,Children (1-13 years old),Both,Barth Syndrome
20716,CL(i-12:0/i-12:0/a-17:0/a-17:0)[rac],HMDB0086278,,Children (1-13 years old),Both,Barth Syndrome
20717,CL(i-12:0/i-12:0/i-17:0/a-17:0)[rac],HMDB0086279,,Children (1-13 years old),Both,Barth Syndrome
20718,"CL(i-12:0/i-12:0/i-17:0/18:2(9Z,11Z))",HMDB0086280,,Children (1-13 years old),Both,Barth Syndrome
20719,CL(i-12:0/i-12:0/i-17:0/i-18:0),HMDB0086281,,Children (1-13 years old),Both,Barth Syndrome
20720,CL(i-12:0/i-12:0/a-17:0/i-18:0)[rac],HMDB0086282,,Children (1-13 years old),Both,Barth Syndrome
20721,"CL(i-12:0/i-12:0/a-17:0/18:2(9Z,11Z))[rac]",HMDB0086283,,Children (1-13 years old),Both,Barth Syndrome
20722,CL(i-12:0/i-12:0/i-17:0/i-19:0),HMDB0086284,,Children (1-13 years old),Both,Barth Syndrome
20723,CL(i-12:0/i-12:0/a-17:0/i-19:0)[rac],HMDB0086285,,Children (1-13 years old),Both,Barth Syndrome
20724,CL(i-12:0/i-12:0/i-17:0/i-20:0),HMDB0086286,,Children (1-13 years old),Both,Barth Syndrome
20725,CL(i-12:0/i-12:0/a-17:0/i-20:0)[rac],HMDB0086287,,Children (1-13 years old),Both,Barth Syndrome
20726,CL(i-12:0/i-12:0/i-17:0/i-21:0),HMDB0086288,,Children (1-13 years old),Both,Barth Syndrome
20727,CL(i-12:0/i-12:0/a-17:0/i-21:0)[rac],HMDB0086289,,Children (1-13 years old),Both,Barth Syndrome
20728,CL(i-12:0/i-12:0/a-17:0/a-21:0)[rac],HMDB0086290,,Children (1-13 years old),Both,Barth Syndrome
20729,CL(i-12:0/i-12:0/i-17:0/a-21:0)[rac],HMDB0086291,,Children (1-13 years old),Both,Barth Syndrome
20730,CL(i-12:0/i-12:0/i-17:0/i-22:0),HMDB0086292,,Children (1-13 years old),Both,Barth Syndrome
20731,CL(i-12:0/i-12:0/a-17:0/i-22:0)[rac],HMDB0086293,,Children (1-13 years old),Both,Barth Syndrome
20732,CL(i-12:0/i-12:0/i-17:0/i-24:0),HMDB0086294,,Children (1-13 years old),Both,Barth Syndrome
20733,CL(i-12:0/i-12:0/a-17:0/i-24:0)[rac],HMDB0086295,,Children (1-13 years old),Both,Barth Syndrome
20734,CL(i-12:0/i-12:0/a-17:0/a-25:0)[rac],HMDB0086296,,Children (1-13 years old),Both,Barth Syndrome
20735,CL(i-12:0/i-12:0/i-17:0/a-25:0)[rac],HMDB0086297,,Children (1-13 years old),Both,Barth Syndrome
20736,CL(i-12:0/i-12:0/i-18:0/i-12:0),HMDB0086298,,Children (1-13 years old),Both,Barth Syndrome
20737,"CL(i-12:0/i-12:0/18:2(9Z,11Z)/i-12:0)",HMDB0086299,,Children (1-13 years old),Both,Barth Syndrome
20738,CL(i-12:0/i-12:0/i-18:0/i-13:0),HMDB0086300,,Children (1-13 years old),Both,Barth Syndrome
20739,"CL(i-12:0/i-12:0/18:2(9Z,11Z)/i-13:0)",HMDB0086301,,Children (1-13 years old),Both,Barth Syndrome
20740,"CL(i-12:0/i-12:0/18:2(9Z,11Z)/a-13:0)[rac]",HMDB0086302,,Children (1-13 years old),Both,Barth Syndrome
20741,CL(i-12:0/i-12:0/i-18:0/a-13:0)[rac],HMDB0086303,,Children (1-13 years old),Both,Barth Syndrome
20742,CL(i-12:0/i-12:0/i-18:0/i-14:0),HMDB0086304,,Children (1-13 years old),Both,Barth Syndrome
20743,"CL(i-12:0/i-12:0/18:2(9Z,11Z)/i-14:0)",HMDB0086305,,Children (1-13 years old),Both,Barth Syndrome
20744,CL(i-12:0/i-12:0/i-18:0/i-15:0),HMDB0086306,,Children (1-13 years old),Both,Barth Syndrome
20745,"CL(i-12:0/i-12:0/18:2(9Z,11Z)/i-15:0)",HMDB0086307,,Children (1-13 years old),Both,Barth Syndrome
20746,"CL(i-12:0/i-12:0/18:2(9Z,11Z)/a-15:0)[rac]",HMDB0086308,,Children (1-13 years old),Both,Barth Syndrome
20747,CL(i-12:0/i-12:0/i-18:0/a-15:0)[rac],HMDB0086309,,Children (1-13 years old),Both,Barth Syndrome
20748,CL(i-12:0/i-12:0/i-18:0/i-16:0),HMDB0086310,,Children (1-13 years old),Both,Barth Syndrome
20749,"CL(i-12:0/i-12:0/18:2(9Z,11Z)/i-16:0)",HMDB0086311,,Children (1-13 years old),Both,Barth Syndrome
20750,CL(i-12:0/i-12:0/i-18:0/i-17:0),HMDB0086312,,Children (1-13 years old),Both,Barth Syndrome
20751,"CL(i-12:0/i-12:0/18:2(9Z,11Z)/i-17:0)",HMDB0086313,,Children (1-13 years old),Both,Barth Syndrome
20752,"CL(i-12:0/i-12:0/18:2(9Z,11Z)/a-17:0)[rac]",HMDB0086314,,Children (1-13 years old),Both,Barth Syndrome
20753,CL(i-12:0/i-12:0/i-18:0/a-17:0)[rac],HMDB0086315,,Children (1-13 years old),Both,Barth Syndrome
20754,"CL(i-12:0/i-12:0/i-18:0/18:2(9Z,11Z))",HMDB0086316,,Children (1-13 years old),Both,Barth Syndrome
20755,CL(i-12:0/i-12:0/i-18:0/i-18:0),HMDB0086317,,Children (1-13 years old),Both,Barth Syndrome
20756,"CL(i-12:0/i-12:0/18:2(9Z,11Z)/i-18:0)",HMDB0086318,,Children (1-13 years old),Both,Barth Syndrome
20757,"CL(i-12:0/i-12:0/18:2(9Z,11Z)/18:2(9Z,11Z))",HMDB0086319,,Children (1-13 years old),Both,Barth Syndrome
20758,CL(i-12:0/i-12:0/i-18:0/i-19:0),HMDB0086320,,Children (1-13 years old),Both,Barth Syndrome
20759,"CL(i-12:0/i-12:0/18:2(9Z,11Z)/i-19:0)",HMDB0086321,,Children (1-13 years old),Both,Barth Syndrome
20760,CL(i-12:0/i-12:0/i-18:0/i-20:0),HMDB0086322,,Children (1-13 years old),Both,Barth Syndrome
20761,"CL(i-12:0/i-12:0/18:2(9Z,11Z)/i-20:0)",HMDB0086323,,Children (1-13 years old),Both,Barth Syndrome
20762,CL(i-12:0/i-12:0/i-18:0/i-21:0),HMDB0086324,,Children (1-13 years old),Both,Barth Syndrome
20763,"CL(i-12:0/i-12:0/18:2(9Z,11Z)/i-21:0)",HMDB0086325,,Children (1-13 years old),Both,Barth Syndrome
20764,"CL(i-12:0/i-12:0/18:2(9Z,11Z)/a-21:0)[rac]",HMDB0086326,,Children (1-13 years old),Both,Barth Syndrome
20765,CL(i-12:0/i-12:0/i-18:0/a-21:0)[rac],HMDB0086327,,Children (1-13 years old),Both,Barth Syndrome
20766,CL(i-12:0/i-12:0/i-18:0/i-22:0),HMDB0086328,,Children (1-13 years old),Both,Barth Syndrome
20767,"CL(i-12:0/i-12:0/18:2(9Z,11Z)/i-22:0)",HMDB0086329,,Children (1-13 years old),Both,Barth Syndrome
20768,CL(i-12:0/i-12:0/i-18:0/i-24:0),HMDB0086330,,Children (1-13 years old),Both,Barth Syndrome
20769,"CL(i-12:0/i-12:0/18:2(9Z,11Z)/i-24:0)",HMDB0086331,,Children (1-13 years old),Both,Barth Syndrome
